商品コード,タイトル,販売価格（税抜）,販売価格（税込）,販売価格変更日
2100171671141,テラ・フォーミング,2727,3000,20250618
2100170055553,背景黒）絶望と反魂と滅殺の決断,2273,2500,20250129
2100171511843,マスター・オブ・セブンスロード,364,400,20250604
2100178482504,（ＳＥ）堕天使ゼラート,545,600,20250531
2100180828246,（ＨＲ）ブラック・マジシャン・ガール,7273,8000,20250212
2100182759883,（ＵＲ）ルギアＶＳＴＡＲ,2727,3000,20250319
2100185253470,（ＳＲ）スター団のしたっぱ,364,400,20250212
2100184430872,（ＫＣ）ブラック・マジシャン・ガール,2727,3000,20250326
2100184533825,（ＰＳＥ）Ｎｏ．６２　銀河眼の光子竜皇,2727,3000,20250118
2100202855755,（ＵＲ）ビーチコート,455,500,20250614
2100200055126,（ＳＲ）ナナミの手助け,455,500,20250125
2100198728019,（ＵＲ）ディンルーｅｘ,455,500,20250326
2100201577825,（ＳＲ）基本闘エネルギー,182,200,20250531
2100167567380,古尖兵ケルベク,255,281,00000000
2100163236976,スクラップ・キマイラ,255,281,00000000
2100163301162,デフォルメ金）極まる侵略　Ｇ．Ｏ．Ｄ．,255,281,00000000
2100163697364,スクラップ・キマイラ,255,281,00000000
2100164407740,クリアウィング・シンクロ・ドラゴン,273,300,20250226
2100164476784,マホイップ,273,300,20250301
2100164974723,メンデルスゾーン,2727,3000,20250326
2100165544468,ヒスイオオニューラＶ,364,400,00000000
2100165680081,スクラップ・キマイラ,255,281,00000000
2100165878112,ローズ,273,300,00000000
2100166185424,ヒードランＶＭＡＸ,545,600,20250301
2100167098082,ヒスイオオニューラＶ,364,400,00000000
2100168571720,リロード・チャージャー,364,400,20250215
2100168118703,ウィッチクラフト・ポトリー,182,200,20250521
2100168118710,ウィッチクラフト・ポトリー,182,200,20250521
2100168118987,蒼翠の風霊使いウィン,182,200,00000000
2100168185583,時の革命　ミラダンテ,528,581,00000000
2100168358161,ヒスイヌメルゴンＶ,364,400,00000000
2100168408514,バックトゥーゴ・クーチャー,346,381,00000000
2100168417493,デフォルメ金）極まる侵略　Ｇ．Ｏ．Ｄ．,255,281,00000000
2100168477787,ゼーロＪｒ．＆ゲンムエンペラー,273,300,00000000
2100168570884,混沌紳士　トリックスタァ,909,1000,20250326
2100169890257,ヤロー,273,300,00000000
2100169936146,ムゲンダイナＶＭＡＸ,909,1000,20250618
2100170065460,天威の龍鬼神,255,281,00000000
2100170114090,極神聖帝オーディン,909,1000,20250326
2100169318478,溟界の滓?ナイア,545,600,20250712
2100169319840,ダイノルフィア・ケントレギナ,455,500,20250329
2100169322581,ＦＯＲＢＩＤＤＥＮ?禁断の星?,182,200,00000000
2100169329139,ＫＡＭＡＳＥ?ＢＵＲＮ！,727,800,20250412
2100169398920,限りなく透明に近いワルツ,273,300,20250215
2100169607930,オシリスの天空竜,727,800,20250326
2100169807583,Ｅ・ＨＥＲＯ　ソリッドマン,364,400,00000000
2100169809013,デスピアの導化アルベル,727,800,20250604
2100170751486,海晶乙女スプリンガール,273,300,20250510
2100170114137,オッドアイズ・ペンデュラム・ドラゴン,182,200,20250215
2100170114816,溟界の滓?ヌル,455,500,20250712
2100170114847,エクソシスターズ・マニフィカ,273,300,20250604
2100170115509,浮幽さくら,182,200,20250215
2100170164880,ライフ・ストリーム・ドラゴン,273,300,20250514
2100170566998,ティアラメンツ・シェイレーン,727,800,20250326
2100170632853,カラマネロ,182,200,20250428
2100170696596,禁忌の壺,182,200,20250405
2100170696671,マシンナーズ・メタルクランチ,364,400,00000000
2100170724923,轟雷帝ザボルグ,545,600,20250528
2100170724947,グッサリ＠イグニスター,136,150,20250405
2100170732294,幻獣機オライオン,182,200,20250305
2100172583443,ティアラメンツ・シェイレーン,727,800,20250326
2100173137867,ラーの翼神竜,3636,4000,20250326
2100171018205,幻創龍ファンタズメイ,182,200,20250215
2100171019769,キリビ・レディ,182,200,00000000
2100171019776,キリビ・レディ,182,200,00000000
2100171230881,神楯と天門と正義の決断,364,400,00000000
2100171344922,ザマゼンタＶ,455,500,20250205
2100171497970,サイバティック・ワイバーン,455,500,20250510
2100171498014,ロイヤルデモンズ・ヘヴィメタル,364,400,00000000
2100171612779,イオルブＶＭＡＸ,727,800,20250802
2100171777669,ヒスイゾロアークＶ,364,400,00000000
2100171813381,巡霊者メスタポ,364,400,20250215
2100171849458,古衛兵アギド,255,281,00000000
2100171870209,ＤＮＡ・スパーク,255,281,00000000
2100171953902,ヘルガー,1818,2000,20250201
2100172447752,ケッキングＶ,273,300,00000000
2100174795790,コック,364,400,00000000
2100174795813,ズミ,364,400,00000000
2100174796162,騎甲虫スカウト・バギー　WPP3/JP001SE,45,50,20250510
2100174804362,オーロットＶ,364,400,00000000
2100174804386,オーロットＶ,364,400,00000000
2100174881943,ヒスイウインディ　075/071/S10A/B,273,300,20250312
2100173615105,スピアーＶ,364,400,00000000
2100173639378,ガブリアスＶ,364,400,00000000
2100173764292,ポッドとデントとコーン,455,500,20250326
2100173764551,チェレンの気くばり,455,500,20250326
2100173869768,オンバーンＶ,364,400,00000000
2100173881227,ジバコイルＶＳＴＡＲ,455,500,20250301
2100174257915,メルメタルＶ,273,300,00000000
2100174265880,ピジョットＶ　112/100/S11/B,273,300,20250409
2100174266450,パルスワンＶ,273,300,00000000
2100174266627,メルメタルＶ,273,300,00000000
2100174518689,ミラー仕様）ボスゴドラＶＭＡＸ,346,381,00000000
2100174551808,アヤシシＶ,364,400,00000000
2100174559071,ズミ,364,400,00000000
2100174566246,ダンサー,455,500,20250326
2100174566307,キャンプファイヤー,455,500,20250326
2100174780048,ドラピオンＶＳＴＡＲ,727,800,20250618
2100174780055,ドラピオンＶＳＴＡＲ,727,800,20250618
2100174794076,ガラルフリーザーＶ,1091,1200,20250531
2100175989075,ヒスイジュナイパーＶ,273,300,00000000
2100176121467,影依の巫女　エリアル　SD37/JP003SR,182,200,00000000
2100174969948,かがやくヒスイオオニューラ,182,200,20250719
2100175073491,ヒスイバクフーンＶ,273,300,00000000
2100175073514,ドラピオンＶ,273,300,00000000
2100175113128,ヒスイヌメルゴンＶ　082/071/S10A/B,364,400,00000000
2100175179124,ムゲンダイナＶ,545,600,20250503
2100175179162,ジバコイルＶＳＴＡＲ,455,500,20250301
2100175179179,ルアーモジュール,455,500,20250326
2100175204819,博士の研究,455,500,20250125
2100175270739,ムーランドＶ,364,400,00000000
2100175271194,ヒスイマルマインＶ,364,400,00000000
2100175271200,ヒスイマルマインＶ,364,400,00000000
2100175271293,アヤシシＶ,364,400,00000000
2100175271309,アヤシシＶ,364,400,00000000
2100175388335,キュレムＶ　102/100/S11/B,273,300,00000000
2100175425580,メルメタルＶＭＡＸ,545,600,20250301
2100175425603,エルフーンＶ,364,400,00000000
2100175425610,エルフーンＶ,364,400,00000000
2100175426068,ヒードランＶ,364,400,00000000
2100175426105,ピジョットＶ　112/100/S11/B,273,300,20250409
2100175426952,ペリーラ,455,500,20250312
2100175557410,ルアーモジュール,455,500,20250326
2100175597157,マクワ,273,300,00000000
2100175597164,マクワ,273,300,00000000
2100175597294,タイサイ,364,400,00000000
2100175597430,ペリーラ,455,500,20250326
2100175597607,ジバコイルＶ,273,300,00000000
2100175696584,クチートＶ　078/068/S11A/B,273,300,00000000
2100175767086,プテラＶ,364,400,00000000
2100175817361,イオルブＶＭＡＸ,727,800,20250802
2100175837420,レパルダスＶ,273,300,00000000
2100175837475,ガラル　ギャロップＶ,455,500,20250326
2100175859033,ケケンカニＶ,364,400,00000000
2100175906096,ヒスイバクフーンＶ,273,300,00000000
2100175906218,アローラナッシーＶ,273,300,00000000
2100175906669,キャンデラ　087/071/S10B/B,455,500,20250301
2100175906768,スパーク　088/071/S10B/B,455,500,20250301
2100175906782,スパーク　088/071/S10B/B,455,500,20250301
2100175906867,ブランシェ　090/071/S10B/B,455,500,20250326
2100175906874,ブランシェ　090/071/S10B/B,455,500,20250326
2100175906973,メルメタルＶＭＡＸ,545,600,20250301
2100175988344,マスター,273,300,00000000
2100175988566,ヨクバリスＶＭＡＸ,727,800,20250301
2100175988573,ヨクバリスＶＭＡＸ,727,800,20250301
2100175988634,ザクロ,455,500,20250326
2100178789801,（ＵＲ）クリスタルウィング・シンクロ・ドラゴン,182,200,20250219
2100178790319,（Ｒ）天使と悪魔の墳墓,437,481,00000000
2100176178164,ガラル　ギャロップＶ,455,500,20250326
2100176178362,キュレムＶ　102/100/S11/B,273,300,00000000
2100176244791,レパルダスＶ,273,300,00000000
2100176651018,守護神官マハード,545,600,20250716
2100176671627,レックウザＶＭＡＸ,5455,6000,20250709
2100176887912,ススキ,455,500,20250326
2100176995150,至宝　オール・イエス,346,381,00000000
2100177268802,ソッドとシルディ　263/184/S8B/B,273,300,00000000
2100177286837,グランブルＶ,182,200,20250510
2100177396024,（ＳＲ）ラブトロスＶ　（ＳＲ）ラブトロスＶ,364,400,00000000
2100177522096,（ＨＲ）ポッドとデントとコーン　（ＨＲ）ポッドとデントとコー,455,500,20250326
2100177609834,（ＳＥ）セリオンズ“キング”レギュラス,273,300,20250618
2100177972730,（ＳＲ）ブリガロンＶ,273,300,00000000
2100178026784,（ＣＨＲ）カラマネロ,182,200,20250428
2100178220175,（レア無）悠久を統べる者　フォーエバー・プリンセス,346,381,00000000
2100178753079,（ＣＨＲ）ミカルゲ,182,200,20250428
2100178758661,（ＨＲ）メロン,909,1000,20250326
2100181001167,（ＣＨＲ）パラセクト,182,200,20250428
2100181050028,（ＳＲ）マギアナＶ,273,300,00000000
2100181314618,（ＳＲ）ケケンカニＶ,364,400,00000000
2100178934768,（ＳＲ）チェレンの気くばり,455,500,20250326
2100179026745,（ＳＲ）アマージョＶ,364,400,00000000
2100179086640,（ＳＥ）赫の聖女カルテシア,1364,1500,00000000
2100179197186,（ＳＲ）クチートＶ,273,300,00000000
2100179252991,（Ｐ）ゼーロＪｒ．＆ゲンムエンペラー,273,300,00000000
2100179462567,（ＳＲ）ゲノセクトＶ,364,400,00000000
2100179525972,（ＳＲ）ガラルニャイキングＶ,273,300,00000000
2100179547806,（ＣＨＲ）ミカルゲ,182,200,20250428
2100179605087,（２０ＳＥ）ブラック・マジシャン,1364,1500,20250618
2100179993474,（レア無）ミラー仕様）ボスゴドラＶＭＡＸ,346,381,00000000
2100180175838,（ＨＲ）ルギアＶＳＴＡＲ,1818,2000,20250604
2100180615471,（ＳＲ）ゴースト・サイクロン,273,300,20250510
2100180863667,（ＲＲ）剛撃龍メタギアスターＦ,273,300,20250510
2100180933995,（ＳＲ）アマージョＶ,364,400,00000000
2100183357798,（ＣＨＲ）シャンデラ,273,300,20250301
2100183388471,（ＳＥ）ジャンク・デストロイヤー,255,281,00000000
2100181687989,（ＳＲ）ミュウツーＶ,1818,2000,20250802
2100181847529,（ＶＲ）調和と繁栄の罠,710,781,00000000
2100182422800,（ＳＥ）赫の聖女カルテシア,1364,1500,00000000
2100182714561,（ＳＡＲ）フーパＶ,455,500,20250517
2100183168066,（ＳＥ）アストラル・クリボー,455,500,20250514
2100183620885,（ＳＲ）導きの聖女クエム,182,200,00000000
2100183722794,（ＵＲ）星守の騎士　プトレマイオス,182,200,00000000
2100183941881,（ＰＳＥ）グランドレミコード・クーリア,1818,2000,20250730
2100184098010,（ＳＲ）ケッキングＶ,273,300,00000000
2100184251972,（ＰＳＥ）超魔導戦士?マスター・オブ・カオス,545,600,20250510
2100184307266,（ＳＥ）戦神?不知火,45,50,20250806
2100184369592,（ＶＩＣ）「戦慄」の頂　ベートーベン,364,400,00000000
2100184557937,（ＢＳ）サイコ・エンド・パニッシャー,364,400,00000000
2100184701613,（ＣＨＲ）マホイップ,273,300,20250301
2100184701897,（レア無）「俺」の頂　ライオネル　ＧＳ,346,381,00000000
2100185122288,（ＰＳＥ）ファイアウォール・ドラゴン・ダークフルード,1364,1500,00000000
2100185268849,（ＡＲ）ソルロック,273,300,20250723
2100185521661,（ＰＳＥ）クラリアの蟲惑魔,3636,4000,20250326
2100185598403,（ＳＲ）マスタードいちげきのかた,364,400,00000000
2100185637805,（ＳＥＣ）絵柄金）蒼き団長　ドギラゴン剣,909,1000,20250326
2100185639472,（ＡＲ）教導の騎士フルルドリス,182,200,00000000
2100185802999,（ＱＳＥ）ギャラクシーアイズ　ＦＡ・フォトン・ドラゴン,727,800,20250514
2100185815135,（ＳＥ）増殖するＧ,455,500,20250719
2100186147822,（ＡＲ）ガラルサンダー,273,300,20250723
2100186767778,（Ｐ）ＷＩＮＮＥＲ）罪恐！零ＭＡＸ,255,281,00000000
2100186949006,（ＳＡＲ）メロン,1364,1500,20250604
2100188002679,（ＳＲ）チェレンの気くばり,455,500,20250326
2100187261671,（ＳＲ）ヨクバリスＶ,364,400,00000000
2100187427756,（レア無）Ａ）天災　デドダム,545,600,20250208
2100187471889,（ＳＲ）ススキ,364,400,00000000
2100187513367,（ＳＲ）ジニア,909,1000,20250607
2100187513923,（ＳＲ）シャンデラＶ,273,300,00000000
2100187594977,（ＡＲ）ブーバーン,273,300,20250723
2100187615337,（ＳＡＲ）ヒスイダイケンキＶ,545,600,20250712
2100187618260,（ＳＲ）キャンデラ,273,300,00000000
2100187647253,（ＳＲ）ススキ,364,400,00000000
2100187652127,（ＳＲ）ジニア,909,1000,20250607
2100187686429,（ＨＲ）ススキ,455,500,20250326
2100187686436,（ＳＲ）ジンダイ,273,300,00000000
2100187686467,（ＨＲ）ザクロ,455,500,20250326
2100187833953,（ＳＡＲ）ヒスイダイケンキＶ,545,600,20250712
2100187834035,（ＵＲ）レジェンド・マジシャン,273,300,20250802
2100187989759,（ＡＲ）キュワワー,273,300,20250528
2100187990113,（ＡＲ）エレキブル,273,300,20250730
2100189137714,（ＨＲ）バシャーモＶＭＡＸ,2273,2500,00000000
2100189139848,（ＡＲ）ブーバーン,273,300,20250723
2100189199675,（ＳＲ）ガブリアスＶ,364,400,00000000
2100189274211,（ＨＲ）原始生命態ニビル,1818,2000,20250614
2100188286093,（ＳＲ）ヒスイダイケンキＶ,364,400,00000000
2100188342416,（ＳＥ）増殖するＧ,455,500,20250719
2100188587275,（ＵＲ）ルギアＶＳＴＡＲ,2727,3000,20250319
2100188615732,（レア無）暴嵐龍Ｓｕｓａｎｏ?Ｏ?Ｄｒａｇｏｎ,182,200,20250716
2100188665782,（ＶＲ）Ｂ箔押し）全能ゼンノー,1364,1500,20250709
2100188838018,（ＣＨＲ）ヒスイウインディ,273,300,20250312
2100188838049,（ＡＲ）ケルディオ,273,300,20250503
2100188931177,（ＳＲ）基本闘エネルギー,182,200,20250531
2100188932280,（レア無）ガラルサンダーＶ,1364,1500,00000000
2100189093577,（ＵＲ）光の護封剣,3636,4000,20250326
2100201650405,（ＡＲ）ボチ,182,200,20250712
2100198460049,（ＵＲ）閃珖竜　スターダスト,182,200,20250305
2100201689672,（レア無）ポクタマたま,364,400,20250607
2100197692663,（ＡＲ）バリヤード,273,300,20250531
2100197692670,（ＡＲ）バリヤード,273,300,20250531
2100198521580,（ＨＲ）原始生命態ニビル,1818,2000,20250614
2100198521603,（ＱＳＥ）ライトニング・ストーム,1818,2000,20250326
2100200079597,（ＮＰ）最強旗獣サージバイコーン,136,150,20250716
2100200145056,（ＡＲ）グルトン,182,200,20250528
2100200275777,（ＨＲ）チェレンの気くばり,455,500,20250326
2100200328916,（ＣＳＲ）エルレイドＶ,909,1000,20250517
2100197798259,（ＵＲ）ポケモンいれかえ,1091,1200,20250517
2100197838795,（ＱＳＥ）ポワソニエル・ド・ヌーベルズ,909,1000,20250423
2100198592887,（ＡＲ）グルトン,182,200,20250528
2100198711141,（ＳＡＲ）テツノワダチｅｘ,455,500,20250712
2100200446801,（ＳＲ）メロン,1364,1500,20250604
2100200546549,（ＳＲ）ヒードランＶ,364,400,00000000
2100202089884,（ＳＡＲ）メロン,1364,1500,20250604
2100197950176,（ＳＲ）スカタンクＶ,273,300,00000000
2100200611827,（ＣＨＲ）サーナイト,364,400,20250531
2100202197893,（ＡＲ）イワパレス,182,200,20250510
2100197953221,（ＳＡＲ）フーパＶ,455,500,20250517
2100198000078,（ＡＲ）ディアンシー,273,300,20250226
2100198060638,（ＳＲ）メメント・エンウィッチ,182,200,20250705
2100198060645,（ＳＲ）メメント・エンウィッチ,182,200,20250705
2100198894851,（ＨＲ）ヒスイジュナイパーＶＳＴＡＲ,455,500,20250326
2100200611865,（ＣＨＲ）サーナイト,364,400,20250531
2100200619236,（ＶＲ）黒柄）ボルメテウス・サファイア・ドラゴン,909,1000,20250326
2100202256118,（ＡＲ）ミガルーサ,182,200,20250510
2100202256125,（ＡＲ）コジョンド,273,300,20250503
2100198060898,（ＳＥ）冥骸合竜?メメントラル・テクトリカ,136,150,20250705
2100198061178,（ＳＥ）メメント・メイス,136,150,20250705
2100198917000,（ＡＲ）クワッス,364,400,20250510
2100200770180,（ＨＲ）ナタネの活気,1364,1500,20250428
2100198061383,（ＳＲ）メメント・シーホース,136,150,20250705
2100198964608,（ＰＳＥ）スターダスト・シンクロン,2727,3000,20250730
2100198964653,（ＳＲ）ガラルニャイキングＶ,1364,1500,20250611
2100202523340,（Ｃ）勝利のプリンプリン,182,200,20250329
2100202527928,（ＳＲ）ライチュウＶ,545,600,20250416
2100198062038,（ＳＲ）騎士皇レガーティア,182,200,20250726
2100200980435,（ＳＡＲ）ブロロロームｅｘ,545,600,20250517
2100202539297,（ＳＲ）センリ,364,400,20250611
2100202546189,（ＡＲ）テツノドクガ,182,200,20250528
2100202546653,（ＳＲ）剣の御巫ハレ,273,300,20250618
2100202546660,（ＳＲ）剣の御巫ハレ,273,300,20250618
2100202546837,（ＵＲ）深淵の獣ルベリオン,364,400,20250716
2100199057040,（ＡＲ）エレキブル,273,300,20250730
2100199072616,(SE)キャットロワ チョイス,182,200,20250416
2100201077189,（ＣＳＲ）ゼラオラＶ,1818,2000,20250528
2100201087485,（ＨＲ）キャンプファイヤー,455,500,20250326
2100201219695,（ＳＲ）神楯と天門と正義の決断,364,400,00000000
2100198283020,（ＳＲ）ダイオウドウｅｘ,273,300,00000000
2100198283037,（ＳＲ）ヤドキングｅｘ,364,400,00000000
2100198283440,（ＳＥ）悪魔の聲,545,600,20250326
2100198283587,（ＳＥ）天使の聲,545,600,20250326
2100198283679,（ＳＥ）重騎兵エメトVI,182,200,00000000
2100198283686,（ＳＥ）重騎兵エメトVI,182,200,00000000
2100198283792,（ＳＥ）冥骸合竜?メメントラル・テクトリカ,136,150,20250705
2100198283983,（ＳＥ）天使の聲,545,600,20250326
2100199436739,（ＳＲ）ヨクバリスＶ,1364,1500,00000000
2100199450179,（ＢＳ）混沌魔龍　カオス・ルーラー,255,281,00000000
2100201345912,（ＳＥ）トゥーン・ブラック・マジシャン・ガール,1818,2000,20250412
2100201408051,（ＳＲ）オモダカ,455,500,20250125
2100201470935,（ＡＲ）アブソル,273,300,20250503
2100197074315,（ＶＲ）真実の名　タイガー・レジェンド,364,400,00000000
2100198453621,（レア無）メンデルスゾーン,182,200,00000000
2100198453638,（レア無）メンデルスゾーン,182,200,00000000
2100199642253,（ＣＳＲ）エルレイドＶ,909,1000,20250517
2100189823389,（ＨＲ）ヒードランＶＭＡＸ,545,600,20250301
2100194401732,（ＳＲ）ジャッジマン,727,800,20250517
2100195922960,（ＢＳ）倶利伽羅天童,273,300,20250705
2100195922977,（ＳＥ）ジェット・シンクロン,182,200,00000000
2100195922991,（ＳＥ）ジェット・シンクロン,182,200,00000000
2100195923011,（ＳＥ）ジェット・シンクロン,182,200,00000000
2100195923028,（ＳＥ）ドッペル・ウォリアー,109,120,20250705
2100195923035,（ＳＥ）ドッペル・ウォリアー,109,120,20250705
2100192080557,（ＳＲ）デデンネｅｘ,364,400,00000000
2100194571077,（ＡＲ）カヌチャン,273,300,20250301
2100195923127,（ＱＳＥ）マナドゥム・トリロスークタ,364,400,20250510
2100195923134,（ＱＳＥ）マナドゥム・トリロスークタ,364,400,20250510
2100196035171,（ＡＲ）厄災の星ティ・フォン,1818,2000,20250423
2100196035188,（ＡＲ）厄災の星ティ・フォン,1818,2000,20250423
2100196102125,（ＳＥ）地縛囚人　ストーン・スィーパー,1091,1200,20250723
2100190152980,（ＡＲ）幻獣王キマイラ,182,200,20250412
2100190197677,（ＡＲ）コロトック,273,300,20250514
2100192436743,（ＱＳＥ）屋敷わらし,2273,2500,20250226
2100192486960,（ＨＲ）メリッサ,455,500,20250326
2100192530656,（ＥＸＳＥ）フルール・ド・バロネス,727,800,20250416
2100194663314,（Ｒ）天災　デドダム,273,300,20250125
2100194756924,（ＳＥ）ウィッチクラフト・シュミッタ,182,200,20250322
2100194756931,（ＳＥ）ウィッチクラフト・シュミッタ,182,200,20250322
2100190367766,（ＳＲ）ドンカラスＶ,364,400,20250802
2100190399675,（ＳＲ）基本雷エネルギー,273,300,20250125
2100192548316,（ＡＲ）ナカヌチャン,273,300,20250226
2100194757013,（ＳＲ）アロマージ?ジャスミン,136,150,20250405
2100194757068,（ＳＥ）ウィッチクラフト・ハイネ,182,200,20250528
2100196964280,（ＰＡ）ドラグニティ?レムス,455,500,20250326
2100196964297,（ＰＡ）ドラグニティ?レムス,455,500,20250326
